WikiPageName,Party,State,Sex,Age
Buddy_Carter,Republican,Georgia,Male,62
Barbara_Comstock,Republican,Virginia,Female,60
Ryan_Costello,Republican,Pennsylvania,Male,43
Carlos_Curbelo,Republican,Florida,Male,39
Mark_DeSaulnier,Democratic,California,Male,67
Debbie_Dingell,Democratic,Michigan,Female,66
Tom_Emmer,Republican,Minnesota,Male,58
Ruben_Gallego,Democratic,Arizona,Male,40
Garret_Graves,Republican,Louisiana,Male,47
Glenn_Grothman,Republican,Wisconsin,Male,64
Jody_Hice,Republican,Georgia,Male,59
French_Hill_(politician),Republican,Arkansas,Male,63
Will_Hurd,Republican,Texas,Male,42
Evan_Jenkins_(politician),Republican,West Virginia,Male,59
John_Katko,Republican,New York,Male,57
Steve_Knight_(politician),Republican,California,Male,52
Brenda_Lawrence,Democratic,Michigan,Female,65
Ted_Lieu,Democratic,California,Male,50
Barry_Loudermilk,Republican,Georgia,Male,55
Mia_Love,Republican,Utah,Female,44
Tom_MacArthur,Republican,New Jersey,Male,59
Martha_McSally,Republican,Arizona,Female,53
John_Moolenaar,Republican,Michigan,Male,58
Alex_Mooney,Republican,West Virginia,Male,48
Seth_Moulton,Democratic,Massachusetts,Male,41
Dan_Newhouse,Republican,Washington,Male,64
Gary_Palmer_(politician),Republican,Alabama,Male,65
Bruce_Poliquin,Republican,Maine,Male,66
John_Ratcliffe_(American_politician),Republican,Texas,Male,54
Kathleen_Rice,Democratic,New York,Female,54
David_Rouzer,Republican,North Carolina,Male,47
Steve_Russell_(politician),Republican,Oklahoma,Male,56
Elise_Stefanik,Republican,New York,Female,35
Norma_Torres,Democratic,California,Female,54
Dave_Trott_(politician),Republican,Michigan,Male,59
Mark_Walker_(North_Carolina_politician),Republican,North Carolina,Male,50
Mimi_Walters,Republican,California,Female,57
Bonnie_Watson_Coleman,Democratic,New Jersey,Female,74
Bruce_Westerman,Republican,Arkansas,Male,52
David_Young_(Iowa_politician),Republican,Iowa,Male,51
Lee_Zeldin,Republican,New York,Male,39
Ryan_Zinke,Republican,Montana,Male,58
Dan_Donovan_(politician),Republican,New York,Male,63
Trent_Kelly,Republican,Mississippi,Male,53
Darin_LaHood,Republican,Illinois,Male,51
Warren_Davidson,Republican,Ohio,Male,49
James_Comer_(politician),Republican,Kentucky,Male,47
Dwight_Evans_(politician),Democratic,Pennsylvania,Male,65
Brad_Schneider,Democratic,Illinois,Male,58
Jodey_Arrington,Republican,Texas,Male,47
Don_Bacon_(politician),Republican,Nebraska,Male,56
Jim_Banks,Republican,Indiana,Male,40
Nanette_Barragán,Democratic,California,Female,43
Jack_Bergman,Republican,Michigan,Male,72
Andy_Biggs,Republican,Arizona,Male,60
Lisa_Blunt_Rochester,Democratic,Delaware,Female,57
Anthony_G._Brown,Democratic,Maryland,Male,58
Ted_Budd,Republican,North Carolina,Male,48
Salud_Carbajal,Democratic,California,Male,55
Liz_Cheney,Republican,Wyoming,Female,53
Lou_Correa,Democratic,California,Male,61
Charlie_Crist,Democratic,Florida,Male,63
Val_Demings,Democratic,Florida,Female,62
Neal_Dunn,Republican,Florida,Male,66
Adriano_Espaillat,Democratic,New York,Male,65
John_Faso,Republican,New York,Male,67
Drew_Ferguson_(politician),Republican,Georgia,Male,53
Brian_Fitzpatrick_(American_politician),Republican,Pennsylvania,Male,45
Matt_Gaetz,Republican,Florida,Male,37
Mike_Gallagher_(American_politician),Republican,Wisconsin,Male,35
Tom_Garrett_(Virginia_politician),Republican,Virginia,Male,47
Vicente_González_(politician),Democratic,Texas,Male,52
Josh_Gottheimer,Democratic,New Jersey,Male,44
Clay_Higgins,Republican,Louisiana,Male,58
Trey_Hollingsworth,Republican,Indiana,Male,36
Pramila_Jayapal,Democratic,Washington,Female,54
Mike_Johnson_(Louisiana_politician),Republican,Louisiana,Male,47
Ro_Khanna,Democratic,California,Male,43
Ruben_Kihuen,Democratic,Nevada,Male,39
Raja_Krishnamoorthi,Democratic,Illinois,Male,46
David_Kustoff,Republican,Tennessee,Male,53
Al_Lawson,Democratic,Florida,Male,71
Jason_Lewis_(Minnesota_politician),Republican,Minnesota,Male,64
Roger_Marshall_(politician),Republican,Kansas,Male,59
Brian_Mast,Republican,Florida,Male,39
Donald_McEachin,Democratic,Virginia,Male,58
