WikiPageName,Party,State,Sex,Age
David_Rouzer,Republican,North Carolina,Male
Steve_Russell_(politician),Republican,Oklahoma,Male
Elise_Stefanik,Republican,New York,Female
Norma_Torres,Democratic,California,Female
Dave_Trott_(politician),Republican,Michigan,Male
Mark_Walker_(North_Carolina_politician),Republican,North Carolina,Male
Mimi_Walters,Republican,California,Female
Bonnie_Watson_Coleman,Democratic,New Jersey,Female
Bruce_Westerman,Republican,Arkansas,Male
David_Young_(Iowa_politician),Republican,Iowa,Male
Lee_Zeldin,Republican,New York,Male
Ryan_Zinke,Republican,Montana,Male
Dan_Donovan_(politician),Republican,New York,Male
Trent_Kelly,Republican,Mississippi,Male
Darin_LaHood,Republican,Illinois,Male
Warren_Davidson,Republican,Ohio,Male
James_Comer_(politician),Republican,Kentucky,Male
Dwight_Evans_(politician),Democratic,Pennsylvania,Male
Brad_Schneider,Democratic,Illinois,Male
Jodey_Arrington,Republican,Texas,Male
Don_Bacon_(politician),Republican,Nebraska,Male
Jim_Banks,Republican,Indiana,Male
Nanette_Barragán,Democratic,California,Female,43
Jack_Bergman,Republican,Michigan,Male
Andy_Biggs,Republican,Arizona,Male
Lisa_Blunt_Rochester,Democratic,Delaware,Female
Anthony_G._Brown,Democratic,Maryland,Male
Ted_Budd,Republican,North Carolina,Male
Salud_Carbajal,Democratic,California,Male
Liz_Cheney,Republican,Wyoming,Female
Lou_Correa,Democratic,California,Male
Charlie_Crist,Democratic,Florida,Male
Val_Demings,Democratic,Florida,Female
Neal_Dunn,Republican,Florida,Male
Adriano_Espaillat,Democratic,New York,Male
John_Faso,Republican,New York,Male
Drew_Ferguson_(politician),Republican,Georgia,Male
Brian_Fitzpatrick_(American_politician),Republican,Pennsylvania,Male
Matt_Gaetz,Republican,Florida,Male
Mike_Gallagher_(American_politician),Republican,Wisconsin,Male
Tom_Garrett_(Virginia_politician),Republican,Virginia,Male
Vicente_González_(politician),Democratic,Texas,Male,52
Josh_Gottheimer,Democratic,New Jersey,Male
Clay_Higgins,Republican,Louisiana,Male
Trey_Hollingsworth,Republican,Indiana,Male
Pramila_Jayapal,Democratic,Washington,Female
Mike_Johnson_(Louisiana_politician),Republican,Louisiana,Male
Ro_Khanna,Democratic,California,Male
Ruben_Kihuen,Democratic,Nevada,Male
Raja_Krishnamoorthi,Democratic,Illinois,Male
David_Kustoff,Republican,Tennessee,Male
Al_Lawson,Democratic,Florida,Male
Jason_Lewis_(Minnesota_politician),Republican,Minnesota,Male
Roger_Marshall_(politician),Republican,Kansas,Male
Brian_Mast,Republican,Florida,Male
Donald_McEachin,Democratic,Virginia,Male
Paul_Mitchell_(politician),Republican,Michigan,Male
Stephanie_Murphy,Democratic,Florida,Female
Tom_O'Halleran,Democratic,Arizona,Male
Jimmy_Panetta,Democratic,California,Male
Jamie_Raskin,Democratic,Maryland,Male
Francis_Rooney,Republican,Florida,Male
Jacky_Rosen,Democratic,Nevada,Female
John_Rutherford_(Florida_politician),Republican,Florida,Male
Lloyd_Smucker,Republican,Pennsylvania,Male
Darren_Soto,Democratic,Florida,Male
Thomas_Suozzi,Democratic,New York,Male
Scott_Taylor_(politician),Republican,Virginia,Male
Claudia_Tenney,Republican,New York,Female
Ron_Estes,Republican,Kansas,Male
Greg_Gianforte,Republican,Montana,Male
Jimmy_Gomez,Democratic,California,Male
Karen_Handel,Republican,Georgia,Female
Ralph_Norman,Republican,South Carolina,Male
John_Curtis_(American_politician),Republican,Utah,Male
Conor_Lamb,Democratic,Pennsylvania,Male
Debbie_Lesko,Republican,Arizona,Female
Michael_Cloud,Republican,Texas,Male
Troy_Balderson,Republican,Ohio,Male
